,actual_y,estimated_y,error_of_y(actual_y-estimated_y)
69,-151.25966965381969,-144.14267374766123,-7.116995906158451
70,-109.4333241547549,-144.62654114305153,35.193216988296626
71,-109.22022618299349,-143.30572788785415,34.08550170486066
72,-145.7589661770853,-144.14975025313893,-1.6092159239463797
73,-160.9761547050408,-143.52106153892765,-17.45509316611316
74,-116.38768428239044,-143.63367494366645,27.24599066127601
75,-146.78637589270306,-142.8643258713666,-3.9220500213364744
76,-88.24480435753351,-143.3380620413964,55.09325768386289
77,-137.6146388212002,-144.5405732549322,6.92593443373201
78,-164.0994051259881,-144.93076742450066,-19.168637701487455
79,-121.50542871426882,-143.57991499937552,22.0744862851067
80,-139.0840774717665,-140.20921118723678,1.1251337154702696
81,-144.12069274208355,-142.50305069954064,-1.6176420425429114
82,-189.30834435847163,-140.26620197920752,-49.04214237926411
83,-92.50679295089554,-145.3629235750536,52.856130624158055
84,-157.60921660952323,-141.9520051678447,-15.657211441678527
85,-122.8565796167686,-141.93140460295356,19.074824986184964
86,-134.15933343542042,-141.94182063759615,7.78248720217573
87,-157.8553954367517,-139.9786361555433,-17.876759281208393
88,-140.3053224129439,-138.2119612511119,-2.093361161832007
89,-157.71451486885883,-140.73179764277705,-16.982717226081775
90,-146.59920912098374,-143.5272570598464,-3.0719520611373525
91,-108.73367606257658,-144.28880494033095,35.55512887775437
92,-158.66787372283673,-144.28483950656,-14.38303421627674
93,-143.70806147345252,-141.78408087629091,-1.9239805971616022
94,-167.5127961390968,-142.06095505257213,-25.451841086524666
95,-157.68008192491828,-146.63505767385033,-11.045024251067957
96,-147.14279457969718,-145.22306169179814,-1.9197328878990447
97,-121.02130672080476,-141.22892463825656,20.2076179174518
98,-117.352556436452,-143.4510405835691,26.09848414711709
99,-113.04790501924006,-143.0532732581497,30.005368238909625
100,-142.20031241323028,-142.02548277644013,-0.1748296367901503
101,-177.68231283367885,-143.09850375878065,-34.5838090748982
102,-111.66634540106084,-144.5383734365273,32.87202803546647
103,-127.64699385978184,-142.89991924477022,15.252925384988373
104,-147.31493400494807,-143.17894061776926,-4.135993387178814
105,-144.6122650535858,-142.60588245867942,-2.00638259490637
106,-88.59594495344875,-144.52560395313452,55.92965899968577
107,-134.5077995826587,-143.50485384466631,8.997054262007623
108,-122.67305124036452,-143.56591615795884,20.892864917594324
109,-118.49020178103235,-142.95102939523383,24.460827614201477
110,-150.21738382283854,-143.84305701806505,-6.374326804773489
111,-162.1156590851387,-140.94230273393475,-21.17335635120395
112,-115.22213487591826,-144.24153879193378,29.01940391601552
113,-157.65044568475665,-142.85042474198914,-14.800020942767503
114,-103.24795820063494,-143.38930126778473,40.14134306714979
115,-174.0118859819923,-142.09348747743945,-31.91839850455284
116,-156.54244295991109,-139.86627842446654,-16.676164535444542
117,-161.53553295156308,-144.33081877024097,-17.204714181322117
118,-140.19976370035397,-143.34693650440408,3.147172804050115
119,-153.5171592878008,-143.30900352559848,-10.208155762202324
120,-116.3391426678248,-144.3459752168553,28.00683254903049
121,-175.13980818107052,-141.85428707974617,-33.28552110132435
122,-120.20300042685156,-144.54177754731984,24.33877712046828
123,-129.26514459361383,-143.48856341970122,14.223418826087396
124,-127.35446434238986,-144.3227559747265,16.968291632336644
125,-129.3567848288078,-144.17244021004564,14.815655381237832
126,-149.728993065722,-144.3785453952755,-5.350447670446499
127,-151.70748156206255,-142.50673358500163,-9.200747977060928
128,-168.14997100637646,-144.27125982494647,-23.878711181429992
129,-149.2825494272578,-143.83048551850447,-5.452063908753331
130,-137.32406431785478,-147.3563478079585,10.032283490103737
131,-125.41732855582016,-146.83125631773015,21.41392776190999
132,-128.04626169197485,-145.42715542570613,17.380893733731284
133,-138.48982799503764,-145.86423986045605,7.374411865418409
134,-166.7663653468184,-145.83614789333456,-20.930217453483834
135,-138.10670906719787,-145.2855495340572,7.178840466859327
136,-167.6709452620698,-143.459193624445,-24.211751637624815
137,-148.58932661768014,-145.5875747661494,-3.0017518515307415
138,-145.67744888674474,-145.7104169470254,0.03296806028066612
139,-156.54751613232253,-145.29161235844285,-11.25590377387968
